dcs_rnd1_465|Milanezii au avut viață grea în Rusia, pe terenul campioanei Rubin Kazan|Milanezii au avut viață grea în Rusia, pe terenul campioanei Rubin Kazan
dcs_rnd1_466|Vâlcea nu au avut deloc parte de un meci liniștit|Vâlcea nu au avut deloc parte de un meci liniștit
dcs_rnd1_467|Și acesta a prilejuit o polemică|Și acesta a prilejuit o polemică
dcs_rnd1_468|Nu a mai venit însă la serviciu de patru luni|Nu a mai venit însă la serviciu de patru luni
dcs_rnd1_469|Îi place să confecționeze instrumente muzicale, printre care și nai|Îi place să confecționeze instrumente muzicale, printre care și nai
dcs_rnd1_470|Am vrut să demonstrăm că putem lupta și civilizat|Am vrut să demonstrăm că putem lupta și civilizat
dcs_rnd1_471|Oamenii sunt însă liniștiți|Oamenii sunt însă liniștiți
dcs_rnd1_472|Marca de mașini la care ține însă cel mai mult este Ferari|Marca de mașini la care ține însă cel mai mult este Ferari
dcs_rnd1_473|Prefer sporturile legate de orice are motor, a spus Oliver|Prefer sporturile legate de orice are motor, a spus Oliver
dcs_rnd1_474|Din păcate, tăcerile și ideile lor se pierd în vacarm|Din păcate, tăcerile și ideile lor se pierd în vacarm
dcs_rnd1_475|Achiziționarea terenului este, însă, doar primul pas în demararea investiției privind modernizarea întregii zone|Achiziționarea terenului este, însă, doar primul pas în demararea investiției privind modernizarea întregii zone
dcs_rnd1_476|De asemenea, pizza preparată va fi oferită gratuit participanților la eveniment|De asemenea, pizza preparată va fi oferită gratuit participanților la eveniment
dcs_rnd1_477|Scopul campaniei a fost de a reduce infracționalitatea de toate tipurile|Scopul campaniei a fost de a reduce infracționalitatea de toate tipurile
dcs_rnd1_478|La acest spectacol sunt valabile și abonamentele de premieră|La acest spectacol sunt valabile și abonamentele de premieră
dcs_rnd1_479|În acest moment, gestionarea deșeurilor se face în baza prevederilor din autorizația integrată de mediu|În acest moment, gestionarea deșeurilor se face în baza prevederilor din autorizația integrată de mediu
dcs_rnd1_480|Astfel, suntem obligați să facem apel la arbitrii de rezervă|Astfel, suntem obligați să facem apel la arbitrii de rezervă
dcs_rnd1_481|În toamna lui două mii șapte, Dănilă a demisionat din funcția de președinte executiv al be ce re|În toamna lui două mii șapte, Dănilă a demisionat din funcția de președinte executiv al be ce re
dcs_rnd1_482|Bărbatul nu are carnet, se urcă la volan fără teamă că cineva îl va opri|Bărbatul nu are carnet, se urcă la volan fără teamă că cineva îl va opri
dcs_rnd1_483|Altfel, rămânem doar cu prosteala televizată|Altfel, rămânem doar cu prosteala televizată
dcs_rnd1_484|El a trăit mai mult pe la București|El a trăit mai mult pe la București
dcs_rnd1_485|Pe de altă parte, am urmărit îndeaproape istoria pre și postdecembristă|Pe de altă parte, am urmărit îndeaproape istoria pre și postdecembristă
dcs_rnd1_486|Se poate face asta, dar depinde cum o faci, fiecare are modul lui de a vedea lucrurile|Se poate face asta, dar depinde cum o faci, fiecare are modul lui de a vedea lucrurile
dcs_rnd1_487|Mâine vor fi prezentați parchetului de pe lângă judecătoria Turda cu propunere de arestare preventivă|Mâine vor fi prezentați parchetului de pe lângă judecătoria Turda cu propunere de arestare preventivă
dcs_rnd1_488|Iar cel pe care vreau să-l remaniez este ministrul Nica|Iar cel pe care vreau să-l remaniez este ministrul Nica
dcs_rnd1_489|În viață idealul meu este să-mi termin teza de doctorat|În viață idealul meu este să-mi termin teza de doctorat
dcs_rnd1_490|Steaua e favorită totuși|Steaua e favorită totuși
dcs_rnd1_491|Dacă sunt adevărate, prioritățile nu depind de conjuncturi|Dacă sunt adevărate, prioritățile nu depind de conjuncturi
dcs_rnd1_492|Nu am lucrat niciodată la mașini și nu am avut îndemânare|Nu am lucrat niciodată la mașini și nu am avut îndemânare
dcs_rnd1_493|Nu a murit, dar a rămas mutilată și asta m-a marcat|Nu a murit, dar a rămas mutilată și asta m-a marcat
dcs_rnd1_494|Mi-am cumpărat pământ și mi-am făcut o grădină|Mi-am cumpărat pământ și mi-am făcut o grădină
dcs_rnd1_495|Reprezentanții ce ne a se spun că această creștere a numărului de concedii medicale poate avea mai multe cauze|Reprezentanții ce ne a se spun că această creștere a numărului de concedii medicale poate avea mai multe cauze
dcs_rnd1_496|Toți sunt jucători utili, dar niciunul indispensabil|Toți sunt jucători utili, dar niciunul indispensabil
dcs_rnd1_497|Francezii au făcut o adevărată tradiție din fabricarea acestei băuturi|Francezii au făcut o adevărată tradiție din fabricarea acestei băuturi
dcs_rnd1_498|Am ales totuși un costum de blugi, însă la fel de decent|Am ales totuși un costum de blugi, însă la fel de decent
dcs_rnd1_499|Eu nu mai sunt tentat de o revenire la conducerea federației, am lăsat în trecut toate scandalurile și problemele|Eu nu mai sunt tentat de o revenire la conducerea federației, am lăsat în trecut toate scandalurile și problemele
dcs_rnd1_500|De pildă, aș face un brand din brânza și gemurile locale|De pildă, aș face un brand din brânza și gemurile locale
dcs_rnd2_001|Ne doare pe toți, încă de a doua zi dimineață|Ne doare pe toți, încă de a doua zi dimineață
dcs_rnd2_002|Drumul a fost blocat mai multe ore|Drumul a fost blocat mai multe ore
dcs_rnd2_003|Acum am fost penalizați și cu penalty|Acum am fost penalizați și cu penalty
dcs_rnd2_004|Această partidă se poate compara cu meciul de la Donețk|Această partidă se poate compara cu meciul de la Donețk
dcs_rnd2_005|Gâtul a necesitat intervenție de lungă durată|Gâtul a necesitat intervenție de lungă durată
dcs_rnd2_006|Îmi dezvoltă o anumită minuțiozitate|Îmi dezvoltă o anumită minuțiozitate
dcs_rnd2_007|Își încheie comentariul Ria Novosti|Își încheie comentariul Ria Novosti
dcs_rnd2_008|Dacă nu s-a intervenit la timp, normal că acum sunt grămezi uriașe|Dacă nu s-a intervenit la timp, normal că acum sunt grămezi uriașe
dcs_rnd2_009|Pot să spun că mi-a schimbat viața|Pot să spun că mi-a schimbat viața
dcs_rnd2_010|Primul meu antrenor de tenis a fost profesorul Geantă|Primul meu antrenor de tenis a fost profesorul Geantă
dcs_rnd2_011|Apoi au venit foarte multe delegări în toată țara|Apoi au venit foarte multe delegări în toată țara
dcs_rnd2_012|Am avut însă doar doi ani deschisă o casă de modă|Am avut însă doar doi ani deschisă o casă de modă
dcs_rnd2_013|În două mii unu a obținut titlul de Master Series, la Montreal|În două mii unu a obținut titlul de Master Series, la Montreal
dcs_rnd2_014|Aș vrea să se califice amândouă|Aș vrea să se califice amândouă
dcs_rnd2_015|Stația de la Penny Market nu va fi funcțională pe durata lucrărilor|Stația de la Penny Market nu va fi funcțională pe durata lucrărilor
dcs_rnd2_016|El a reușit să-l imobilizeze pe bărbat|El a reușit să-l imobilizeze pe bărbat
dcs_rnd2_017|Prețul unei ore de joacă sub supravegherea personalului angajat costă șapte lei|Prețul unei ore de joacă sub supravegherea personalului angajat costă șapte lei
dcs_rnd2_018|Suntem prieteni cu skaterii|Suntem prieteni cu skaterii
dcs_rnd2_019|De altfel, am vrut să mă și retrag|De altfel, am vrut să mă și retrag
dcs_rnd2_020|A fost foarte greu pentru ea în ultima vreme|A fost foarte greu pentru ea în ultima vreme
dcs_rnd2_021|Atât autotrenul cât și cantitatea de țigări au fost predate inspectorilori vamali|Atât autotrenul cât și cantitatea de țigări au fost predate inspectorilori vamali
dcs_rnd2_022|Oncescu s-a supărat pe arbitrii care n-au fost atenți la meciurile lui|Oncescu s-a supărat pe arbitrii care n-au fost atenți la meciurile lui
dcs_rnd2_023|Mai mulți agenți sub acoperire filmează cu o cameră ascunsă, toate neregulile|Mai mulți agenți sub acoperire filmează cu o cameră ascunsă, toate neregulile
dcs_rnd2_024|Avem ocazia să prezentăm un front unit|Avem ocazia să prezentăm un front unit
dcs_rnd2_025|Sunt doar din ce în ce mai mulți|Sunt doar din ce în ce mai mulți
dcs_rnd2_026|Rețeaua Al Qaida a revendicat atacurile|Rețeaua Al Qaida a revendicat atacurile
dcs_rnd2_027|În primele zile nu facem nici douăzeci lei arată Rozalia|În primele zile nu facem nici douăzeci lei arată Rozalia
dcs_rnd2_028|Kone a șutat din lovitură liberă peste poarta giuleșteană|Kone a șutat din lovitură liberă peste poarta giuleșteană
dcs_rnd2_029|Cronjaeger a renunțat să ceară o contraexpertiză|Cronjaeger a renunțat să ceară o contraexpertiză
dcs_rnd2_030|Familia Lăcătuș și-a făcut un trecut în domeniul vânzării castanelor|Familia Lăcătuș și-a făcut un trecut în domeniul vânzării castanelor
dcs_rnd2_031|Apă otrăvită, după cum veți vedea în cele ce urmează|Apă otrăvită, după cum veți vedea în cele ce urmează
dcs_rnd2_032|Eu nu mai înțeleg pentru ce dau acei bani|Eu nu mai înțeleg pentru ce dau acei bani
dcs_rnd2_033|Îmi place mult să călătoresc, să văd lucruri noi|Îmi place mult să călătoresc, să văd lucruri noi
dcs_rnd2_034|E un sentiment aparte când îi vezi pe toți că dansează|E un sentiment aparte când îi vezi pe toți că dansează
dcs_rnd2_035|Aceeași situație s-a înregistrat și în județul Vaslui, la vama Albița|Aceeași situație s-a înregistrat și în județul Vaslui, la vama Albița
dcs_rnd2_036|Au trecut mulți ani de când am lucrat împreună|Au trecut mulți ani de când am lucrat împreună
dcs_rnd2_037|După o vară plină de tensiune, învățământul românesc trece într-o altă etapă|După o vară plină de tensiune, învățământul românesc trece într-o altă etapă
dcs_rnd2_038|Am jucat bine, dar nu vreau să mă mai avânt|Am jucat bine, dar nu vreau să mă mai avânt
dcs_rnd2_039|Răbdarea este o calitate pe care nu o dețin mulți dascăli|Răbdarea este o calitate pe care nu o dețin mulți dascăli
dcs_rnd2_040|România aceea e la sat|România aceea e la sat
dcs_rnd2_041|Înainte, am fost fierar betonist la primărie, povestește bărbatul|Înainte, am fost fierar betonist la primărie, povestește bărbatul
dcs_rnd2_042|Două dintre echipele românești au avut reproșuri la adresa arbitrajelor|Două dintre echipele românești au avut reproșuri la adresa arbitrajelor
dcs_rnd2_043|Irlanda respinge prin referendum ratificarea tratatului|Irlanda respinge prin referendum ratificarea tratatului
dcs_rnd2_044|În acest caz, nu se poate spune de o schimbare|În acest caz, nu se poate spune de o schimbare
dcs_rnd2_045|Din nefericire, sunt unele persoane din sectorul financiar care înțeleg greșit momentul|Din nefericire, sunt unele persoane din sectorul financiar care înțeleg greșit momentul
dcs_rnd2_046|Artistului nu-i place neseriozitatea persoanelor cu care lucrează|Artistului nu-i place neseriozitatea persoanelor cu care lucrează
dcs_rnd2_047|Așa că am reușit să strâng mai multe bucăți din același manual|Așa că am reușit să strâng mai multe bucăți din același manual
dcs_rnd2_048|Declară viceprimarul Cornel Ionică|Declară viceprimarul Cornel Ionică
dcs_rnd2_049|Cred că este nevoie doar de puțină încredere|Cred că este nevoie doar de puțină încredere
dcs_rnd2_050|Asociația nu avea statut legal atunci când am devenit eu președinte|Asociația nu avea statut legal atunci când am devenit eu președinte
dcs_rnd2_051|Am intrat la un master pentru sport adaptat, a explicat Mădălina|Am intrat la un master pentru sport adaptat, a explicat Mădălina
dcs_rnd2_052|Am avut nevoie de un an ca să renovez locul|Am avut nevoie de un an ca să renovez locul
dcs_rnd2_053|În Franța termină și celebrul portret al Giocondei|În Franța termină și celebrul portret al Giocondei
dcs_rnd2_054|Am învățat de la ei tehnologia, dar nu ne-au spus chiar tot|Am învățat de la ei tehnologia, dar nu ne-au spus chiar tot
dcs_rnd2_055|În accident a fost rănită ușor și șoferița uneia dintre mașini|În accident a fost rănită ușor și șoferița uneia dintre mașini
dcs_rnd2_056|Am primit bani pentru a ne achita datoriile la zi|Am primit bani pentru a ne achita datoriile la zi
dcs_rnd2_057|Numai că lotul de jucători era mai numeros decât numărul de tricouri|Numai că lotul de jucători era mai numeros decât numărul de tricouri
dcs_rnd2_058|Se întâmpla cam în epoca fe ne i Caritas Bancorex|Se întâmpla cam în epoca fe ne i Caritas Bancorex
dcs_rnd2_059|Învinuiții au fost luați joi și duși la audieri la București|Învinuiții au fost luați joi și duși la audieri la București
dcs_rnd2_060|De exemplu cine răspunde de datoria externă|De exemplu cine răspunde de datoria externă
dcs_rnd2_061|În magazin jucătorii găsesc tot ce au nevoie|În magazin jucătorii găsesc tot ce au nevoie
dcs_rnd2_062|Efectul a fost că interesul pentru talk show-uri a scăzut|Efectul a fost că interesul pentru talk show-uri a scăzut
dcs_rnd2_063|Ei stau foarte bine din punct de vedere fizic|Ei stau foarte bine din punct de vedere fizic
dcs_rnd2_064|În primul rând este gradul de educație|În primul rând este gradul de educație
dcs_rnd2_065|Au venit peste noi și ne-au lovit cu bâte de baseball|Au venit peste noi și ne-au lovit cu bâte de baseball
dcs_rnd2_066|Dar e greu cu Bergodi|Dar e greu cu Bergodi
dcs_rnd2_067|Salcia minune trăiește douăzeci și cinci de ani|Salcia minune trăiește douăzeci și cinci de ani
